"2023-04-14T12:48:02.295Z","SYS","Session logging started.",""
"2023-04-14T12:48:02.296Z","EVSE","Session Started: EVConnected",""
"2023-04-14T12:48:03.297Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:48:03.393Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T12:48:03.492Z","EVSE","EIM Authorization received",""
"2023-04-14T12:48:03.493Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-14T12:48:03.494Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T12:48:03.545Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T12:48:03.684Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:48:09.585Z","CAR","V2G SupportedAppProtocolReq","{
                "SelectedPaymentOption": "ExternalPayment",
                "SelectedServiceList": {
                    "SelectedService": [
                        {
                            "ServiceID": 1
                        }
                    ]
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:11.840Z","EVSE","V2G PaymentServiceSelectionRes","{
    "V2G_Message": {
        "Body": {
            "PaymentServiceSelectionRes": {
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:12.238Z","CAR","V2G AuthorizationReq","{
    "V2G_Message": {
        "Body": {
            "AuthorizationReq": {}
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:12.391Z","EVSE","V2G AuthorizationRes","{
    "V2G_Message": {
        "Body": {
            "AuthorizationRes": {
                "EVSEProcessing": "Ongoing_WaitingForCustomerInteraction",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:12.707Z","CAR","V2G AuthorizationReq","{
    "V2G_Message": {
        "Body": {
            "AuthorizationReq": {}
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:12.922Z","EVSE","V2G AuthorizationRes","{
    "V2G_Message": {
        "Body": {
            "AuthorizationRes": {
                "EVSEProcessing": "Finished",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:13.259Z","CAR","V2G ChargeParameterDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ChargeParameterDiscoveryReq": {
                "DC_EVChargeParameter": {
                    "DC_EVStatus": {
                        "EVErrorCode": "NO_ERROR",
                        "EVRESSSOC": 74,
                        "EVReady": false
                    },
                    "EVEnergyRequest": {
                        "Multiplier": 0,
                        "Unit": "Wh",
                        "Value": 5300
                    },
                    "EVMaximumCurrentLimit": {
                        "Multiplier": -1,
                        "Unit": "A",
                        "Value": 5000
                    },
                    "EVMaximumVoltageLimit": {
                        "Multiplier": -1,
                        "Unit": "V",
                        "Value": 4130
                    }
                },
                "MaxEntriesSAScheduleTuple": 192,
                "RequestedEnergyTransferMode": "DC_extended"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:13.473Z","EVSE","V2G ChargeParameterDiscoveryRes","{
    "V2G_Message": {
        "Body": {
            "ChargeParameterDiscoveryRes": {
                "DC_EVSEChargeParameter": {
                    "DC_EVSEStatus": {
                        "EVSEIsolationStatus": "Invalid",
                        "EVSENotification": "None",
                        "EVSEStatusCode": "EVSE_Ready",
                        "NotificationMaxDelay": 0
                    },
                    "EVSECurrentRegulationTolerance": {
                        "Multiplier": 0,
                        "Unit": "A",
                        "Value": 1
                    },
                    "EVSEEnergyToBeDelivered": {
                        "Multiplier": 0,
                        "Unit": "Wh",
                        "Value": 10000
                    },
                    "EVSEMaximumCurrentLimit": {
                        "Multiplier": 0,
                        "Unit": "A",
                        "Value": 25
                    },
                    "EVSEMaximumPowerLimit": {
                        "Multiplier": 0,
                        "Unit": "W",
                        "Value": 10000
                    },
                    "EVSEMaximumVoltageLimit": {
                        "Multiplier": 0,
                        "Unit": "V",
                        "Value": 1250
                    },
                    "EVSEMinimumCurrentLimit": {
                        "Multiplier": 0,
                        "Unit": "A",
                        "Value": 0
                    },
                    "EVSEMinimumVoltageLimit": {
                        "Multiplier": 0,
                        "Unit": "V",
                        "Value": 180
                    },
                    "EVSEPeakCurrentRipple": {
                        "Multiplier": 0,
                        "Unit": "A",
                        "Value": 0
                    }
                },
                "EVSEProcessing": "Finished",
                "ResponseCode": "OK",
                "SAScheduleList": {
                    "SAScheduleTuple": [
                        {
                            "PMaxSchedule": {
                                "PMaxScheduleEntry": [
                                    {
                                        "PMax": {
                                            "Multiplier": 0,
                                            "Unit": "W",
                                            "Value": 11000
                                        },
                                        "RelativeTimeInterval": {
                                            "start": 0
                                        }
                                    },
                                    {
                                        "PMax": {
                                            "Multiplier": 0,
                                            "Unit": "W",
                                            "Value": 7000
                                        },
                                        "RelativeTimeInterval": {
                                            "duration": 43200,
                                            "start": 43200
                                        }
                                    }
                                ]
                            },
                            "SAScheduleTupleID": 1
                        }
                    ]
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:13.716Z","CAR","Event CarRequestedPower",""
"2023-04-14T12:48:13.716Z","EVSE","Event PowerOn",""
"2023-04-14T12:48:14.411Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:14.452Z","EVSE","Start cable check...",""
"2023-04-14T12:48:14.452Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-14T12:48:14.586Z","EVSE","DC power supply: switch ON called",""
"2023-04-14T12:48:14.586Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Invalid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:14.879Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:15.074Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Invalid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:15.390Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:15.544Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Invalid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:15.809Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:15.819Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:48:15.819Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-14T12:48:15.921Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-14T12:48:16.138Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Invalid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:16.393Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:16.608Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Finished",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:16.803Z","CAR","V2G PreChargeReq","{
    "V2G_Message": {
        "Body": {
            "PreChargeReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 20
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3700
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:16.822Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:48:16.833Z","EVSE","DC power supply set: 370V/2A, requested was 370V/2A.",""
"2023-04-14T12:48:16.998Z","EVSE","V2G PreChargeRes","{
    "V2G_Message": {
        "Body": {
            "PreChargeRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4998
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:17.242Z","CAR","V2G PreChargeReq","{
    "V2G_Message": {
        "Body": {
            "PreChargeReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 20
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3700
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:17.499Z","EVSE","V2G PreChargeRes","{
    "V2G_Message": {
        "Body": {
            "PreChargeRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 5004
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:17.736Z","CAR","V2G PreChargeReq","{
    "V2G_Message": {
        "Body": {
            "PreChargeReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 20
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3700
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:17.812Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:48:17.966Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 370, hack_bpt false",""
"2023-04-14T12:48:17.966Z","EVSE","V2G PreChargeRes","{
    "V2G_Message": {
        "Body": {
            "PreChargeRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3686
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:18.143Z","CAR","V2G PowerDeliveryReq","{
    "V2G_Message": {
        "Body": {
            "PowerDeliveryReq": {
                "ChargeProgress": "Start",
                "ChargingProfile": {
                    "ProfileEntry": [
                        {
                            "ChargingProfileEntryMaxPower": {
                                "Multiplier": 2,
                                "Unit": "W",
                                "Value": 110
                            },
                            "ChargingProfileEntryStart": 0
                        }
                    ]
                },
                "DC_EVPowerDeliveryParameter": {
                    "ChargingComplete": false,
                    "DC_EVStatus": {
                        "EVErrorCode": "NO_ERROR",
                        "EVRESSSOC": 74,
                        "EVReady": true
                    }
                },
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:18.261Z","EVSE","V2G PowerDeliveryRes","{
    "V2G_Message": {
        "Body": {
            "PowerDeliveryRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:18.510Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 5000
                },
                "EVMaximumVoltageLimit": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 0
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "RemainingTimeToFullSoC": {
                    "Multiplier": 1,
                    "Unit": "s",
                    "Value": 0
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:18.551Z","EVSE","DC power supply set: 413V/0A, requested was 413V/0A.",""
"2023-04-14T12:48:18.567Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-04-14T12:48:18.707Z","EVSE","V2G CurrentDemandRes","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSECurrentLimitAchieved": false,
                "EVSEID": "DE*PNX*E12345*1",
                "EVSEMaximumCurrentLimit": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 25
                },
                "EVSEMaximumPowerLimit": {
                    "Multiplier": 0,
                    "Unit": "W",
                    "Value": 10000
                },
                "EVSEMaximumVoltageLimit": {
                    "Multiplier": 0,
                    "Unit": "V",
                    "Value": 1250
                },
                "EVSEPowerLimitAchieved": false,
                "EVSEPresentCurrent": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3686
                },
                "EVSEVoltageLimitAchieved": false,
                "MeterInfo": {
                    "MeterID": "UMWC_POWERMETER",
                    "MeterReading": 0,
                    "TMeter": 1681476498
                },
                "ReceiptRequired": false,
                "ResponseCode": "OK",
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:18.810Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:48:18.984Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 5000
                },
                "EVMaximumVoltageLimit": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 84
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "RemainingTimeToFullSoC": {
                    "Multiplier": 1,
                    "Unit": "s",
                    "Value": 0
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:19.004Z","EVSE","DC power supply set: 413V/8.399999618530273A, requested was 413V/8.399999618530273A.",""
"2023-04-14T12:48:19.180Z","EVSE","V2G CurrentDemandRes","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSECurrentLimitAchieved": false,
                "EVSEID": "DE*PNX*E12345*1",
                "EVSEMaximumCurrentLimit": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 25
                },
                "EVSEMaximumPowerLimit": {
                    "Multiplier": 0,
                    "Unit": "W",
                    "Value": 10000
                },
                "EVSEMaximumVoltageLimit": {
                    "Multiplier": 0,
                    "Unit": "V",
                    "Value": 1250
                },
                "EVSEPowerLimitAchieved": false,
                "EVSEPresentCurrent": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3704
                },
                "EVSEVoltageLimitAchieved": false,
                "MeterInfo": {
                    "MeterID": "UMWC_POWERMETER",
                    "MeterReading": 0,
                    "TMeter": 1681476498
                },
                "ReceiptRequired": false,
                "ResponseCode": "OK",
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:19.459Z","EVSE","Change HLC Limits: 10000W/24.213076A, target_voltage 413, hack_bpt false",""
"2023-04-14T12:48:19.470Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 5000
                },
                "EVMaximumVoltageLimit": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 174
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "RemainingTimeToFullSoC": {
                    "Multiplier": 1,
                    "Unit": "s",
                    "Value": 0
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:19.495Z","EVSE","DC power supply set: 413V/17.399999618530273A, requested was 413V/17.399999618530273A.",""
"2023-04-14T12:48:19.641Z","EVSE","V2G CurrentDemandRes","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSECurrentLimitAchieved": false,
                "EVSEID": "DE*PNX*E12345*1",
                "EVSEMaximumCurrentLimit": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 25
                },
                "EVSEMaximumPowerLimit": {
                    "Multiplier": 0,
                    "Unit": "W",
                    "Value": 10000
                },
                "EVSEMaximumVoltageLimit": {
                    "Multiplier": 0,
                    "Unit": "V",
                    "Value": 1250
                },
                "EVSEPowerLimitAchieved": false,
                "EVSEPresentCurrent": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3717
                },
                "EVSEVoltageLimitAchieved": false,
                "MeterInfo": {
                    "MeterID": "UMWC_POWERMETER",
                    "MeterReading": 0,
                    "TMeter": 1681476499
                },
                "ReceiptRequired": false,
                "ResponseCode": "OK",
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:19.812Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:48:19.916Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 5000
                },
                "EVMaximumVoltageLimit": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 250
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "RemainingTimeToFullSoC": {
                    "Multiplier": 1,
                    "Unit": "s",
                    "Value": 0
                }
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:19.947Z","EVSE","DC power supply set: 413V/24.213075060532688A, requested was 413V/25A.",""
"2023-04-14T12:48:20.102Z","EVSE","V2G CurrentDemandRes","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSECurrentLimitAchieved": false,
                "EVSEID": "DE*PNX*E12345*1",
                "EVSEMaximumCurrentLimit": {
                    "Multiplier": -2,
                    "Unit": "A",
                    "Value": 2421
                },
                "EVSEMaximumPowerLimit": {
                    "Multiplier": 0,
                    "Unit": "W",
                    "Value": 10000
                },
                "EVSEMaximumVoltageLimit": {
                    "Multiplier": 0,
                    "Unit": "V",
                    "Value": 1250
                },
                "EVSEPowerLimitAchieved": false,
                "EVSEPresentCurrent": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3686
                },
                "EVSEVoltageLimitAchieved": false,
                "MeterInfo": {
                    "MeterID": "UMWC_POWERMETER",
                    "MeterReading": 0,
                    "TMeter": 1681476499
                },
                "ReceiptRequired": false,
                "ResponseCode": "OK",
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "9E484EC792C48177"
        }
    }
}"
"2023-04-14T12:48:20.440Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
