"2023-04-14T12:46:53.183Z","SYS","Session logging started.",""
"2023-04-14T12:46:53.184Z","EVSE","Session Started: EVConnected",""
"2023-04-14T12:46:54.186Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:46:54.362Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T12:46:54.512Z","EVSE","EIM Authorization received",""
"2023-04-14T12:46:54.512Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-14T12:46:54.514Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T12:46:54.565Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T12:46:54.700Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T12:47:00.429Z","CAR","V2G SupportedAppProtocolReq","{
            "PaymentServiceSelectionReq": {
                "SelectedPaymentOption": "ExternalPayment",
                "SelectedServiceList": {
                    "SelectedService": [
                        {
                            "ServiceID": 1
                        }
                    ]
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:02.408Z","EVSE","V2G PaymentServiceSelectionRes","{
    "V2G_Message": {
        "Body": {
            "PaymentServiceSelectionRes": {
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:02.759Z","CAR","V2G AuthorizationReq","{
    "V2G_Message": {
        "Body": {
            "AuthorizationReq": {}
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:03.046Z","EVSE","V2G AuthorizationRes","{
    "V2G_Message": {
        "Body": {
            "AuthorizationRes": {
                "EVSEProcessing": "Ongoing_WaitingForCustomerInteraction",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:03.365Z","CAR","V2G AuthorizationReq","{
    "V2G_Message": {
        "Body": {
            "AuthorizationReq": {}
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:03.558Z","EVSE","V2G AuthorizationRes","{
    "V2G_Message": {
        "Body": {
            "AuthorizationRes": {
                "EVSEProcessing": "Finished",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:03.885Z","CAR","V2G ChargeParameterDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ChargeParameterDiscoveryReq": {
                "DC_EVChargeParameter": {
                    "DC_EVStatus": {
                        "EVErrorCode": "NO_ERROR",
                        "EVRESSSOC": 74,
                        "EVReady": false
                    },
                    "EVEnergyRequest": {
                        "Multiplier": 0,
                        "Unit": "Wh",
                        "Value": 5300
                    },
                    "EVMaximumCurrentLimit": {
                        "Multiplier": -1,
                        "Unit": "A",
                        "Value": 5000
                    },
                    "EVMaximumVoltageLimit": {
                        "Multiplier": -1,
                        "Unit": "V",
                        "Value": 4130
                    }
                },
                "MaxEntriesSAScheduleTuple": 192,
                "RequestedEnergyTransferMode": "DC_extended"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:04.124Z","EVSE","V2G ChargeParameterDiscoveryRes","{
    "V2G_Message": {
        "Body": {
            "ChargeParameterDiscoveryRes": {
                "DC_EVSEChargeParameter": {
                    "DC_EVSEStatus": {
                        "EVSEIsolationStatus": "Invalid",
                        "EVSENotification": "None",
                        "EVSEStatusCode": "EVSE_Ready",
                        "NotificationMaxDelay": 0
                    },
                    "EVSECurrentRegulationTolerance": {
                        "Multiplier": 0,
                        "Unit": "A",
                        "Value": 1
                    },
                    "EVSEEnergyToBeDelivered": {
                        "Multiplier": 0,
                        "Unit": "Wh",
                        "Value": 10000
                    },
                    "EVSEMaximumCurrentLimit": {
                        "Multiplier": 0,
                        "Unit": "A",
                        "Value": 25
                    },
                    "EVSEMaximumPowerLimit": {
                        "Multiplier": 0,
                        "Unit": "W",
                        "Value": 10000
                    },
                    "EVSEMaximumVoltageLimit": {
                        "Multiplier": 0,
                        "Unit": "V",
                        "Value": 1250
                    },
                    "EVSEMinimumCurrentLimit": {
                        "Multiplier": 0,
                        "Unit": "A",
                        "Value": 0
                    },
                    "EVSEMinimumVoltageLimit": {
                        "Multiplier": 0,
                        "Unit": "V",
                        "Value": 180
                    },
                    "EVSEPeakCurrentRipple": {
                        "Multiplier": 0,
                        "Unit": "A",
                        "Value": 0
                    }
                },
                "EVSEProcessing": "Finished",
                "ResponseCode": "OK",
                "SAScheduleList": {
                    "SAScheduleTuple": [
                        {
                            "PMaxSchedule": {
                                "PMaxScheduleEntry": [
                                    {
                                        "PMax": {
                                            "Multiplier": 0,
                                            "Unit": "W",
                                            "Value": 11000
                                        },
                                        "RelativeTimeInterval": {
                                            "start": 0
                                        }
                                    },
                                    {
                                        "PMax": {
                                            "Multiplier": 0,
                                            "Unit": "W",
                                            "Value": 7000
                                        },
                                        "RelativeTimeInterval": {
                                            "duration": 43200,
                                            "start": 43200
                                        }
                                    }
                                ]
                            },
                            "SAScheduleTupleID": 1
                        }
                    ]
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:04.215Z","CAR","Event CarRequestedPower",""
"2023-04-14T12:47:04.235Z","EVSE","Event PowerOn",""
"2023-04-14T12:47:05.077Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:05.098Z","EVSE","Start cable check...",""
"2023-04-14T12:47:05.098Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-14T12:47:05.242Z","EVSE","DC power supply: switch ON called",""
"2023-04-14T12:47:05.262Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Invalid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:05.549Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:05.704Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Invalid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:05.991Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:06.144Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Invalid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:06.462Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:47:06.463Z","EVSE","DC power supply set: 500V/2A, requested was 500V/2A.",""
"2023-04-14T12:47:06.463Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:06.586Z","EVSE","Isolation measurement Ok P 910000 N 900000.",""
"2023-04-14T12:47:06.648Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Invalid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_IsolationMonitoringActive",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Ongoing",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:06.904Z","CAR","V2G CableCheckReq","{
    "V2G_Message": {
        "Body": {
            "CableCheckReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:07.140Z","EVSE","V2G CableCheckRes","{
    "V2G_Message": {
        "Body": {
            "CableCheckRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSEProcessing": "Finished",
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:07.466Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:47:07.489Z","CAR","V2G PreChargeReq","{
    "V2G_Message": {
        "Body": {
            "PreChargeReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 20
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3700
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:07.508Z","EVSE","DC power supply set: 370V/2A, requested was 370V/2A.",""
"2023-04-14T12:47:07.601Z","EVSE","V2G PreChargeRes","{
    "V2G_Message": {
        "Body": {
            "PreChargeRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 5004
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:07.837Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 370, hack_bpt false",""
"2023-04-14T12:47:07.919Z","CAR","V2G PreChargeReq","{
    "V2G_Message": {
        "Body": {
            "PreChargeReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 20
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3700
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:08.052Z","EVSE","V2G PreChargeRes","{
    "V2G_Message": {
        "Body": {
            "PreChargeRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4174
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:08.348Z","CAR","V2G PreChargeReq","{
    "V2G_Message": {
        "Body": {
            "PreChargeReq": {
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 20
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3700
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:08.463Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:47:08.484Z","EVSE","V2G PreChargeRes","{
    "V2G_Message": {
        "Body": {
            "PreChargeRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3698
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:08.721Z","CAR","V2G PowerDeliveryReq","{
    "V2G_Message": {
        "Body": {
            "PowerDeliveryReq": {
                "ChargeProgress": "Start",
                "ChargingProfile": {
                    "ProfileEntry": [
                        {
                            "ChargingProfileEntryMaxPower": {
                                "Multiplier": 2,
                                "Unit": "W",
                                "Value": 110
                            },
                            "ChargingProfileEntryStart": 0
                        }
                    ]
                },
                "DC_EVPowerDeliveryParameter": {
                    "ChargingComplete": false,
                    "DC_EVStatus": {
                        "EVErrorCode": "NO_ERROR",
                        "EVRESSSOC": 74,
                        "EVReady": true
                    }
                },
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:08.978Z","EVSE","V2G PowerDeliveryRes","{
    "V2G_Message": {
        "Body": {
            "PowerDeliveryRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:09.172Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 5000
                },
                "EVMaximumVoltageLimit": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 0
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "RemainingTimeToFullSoC": {
                    "Multiplier": 1,
                    "Unit": "s",
                    "Value": 0
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:09.239Z","EVSE","DC power supply set: 413V/0A, requested was 413V/0A.",""
"2023-04-14T12:47:09.287Z","EVSE","Charger state: PrepareCharging->Charging",""
"2023-04-14T12:47:09.474Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:47:09.502Z","EVSE","V2G CurrentDemandRes","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSECurrentLimitAchieved": false,
                "EVSEID": "DE*PNX*E12345*1",
                "EVSEMaximumCurrentLimit": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 25
                },
                "EVSEMaximumPowerLimit": {
                    "Multiplier": 0,
                    "Unit": "W",
                    "Value": 10000
                },
                "EVSEMaximumVoltageLimit": {
                    "Multiplier": 0,
                    "Unit": "V",
                    "Value": 1250
                },
                "EVSEPowerLimitAchieved": false,
                "EVSEPresentCurrent": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3692
                },
                "EVSEVoltageLimitAchieved": false,
                "MeterInfo": {
                    "MeterID": "UMWC_POWERMETER",
                    "MeterReading": 0,
                    "TMeter": 1681476428
                },
                "ReceiptRequired": false,
                "ResponseCode": "OK",
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:09.683Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 5000
                },
                "EVMaximumVoltageLimit": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 84
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "RemainingTimeToFullSoC": {
                    "Multiplier": 1,
                    "Unit": "s",
                    "Value": 0
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:09.725Z","EVSE","DC power supply set: 413V/8.399999618530273A, requested was 413V/8.399999618530273A.",""
"2023-04-14T12:47:09.821Z","EVSE","V2G CurrentDemandRes","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSECurrentLimitAchieved": false,
                "EVSEID": "DE*PNX*E12345*1",
                "EVSEMaximumCurrentLimit": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 25
                },
                "EVSEMaximumPowerLimit": {
                    "Multiplier": 0,
                    "Unit": "W",
                    "Value": 10000
                },
                "EVSEMaximumVoltageLimit": {
                    "Multiplier": 0,
                    "Unit": "V",
                    "Value": 1250
                },
                "EVSEPowerLimitAchieved": false,
                "EVSEPresentCurrent": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3704
                },
                "EVSEVoltageLimitAchieved": false,
                "MeterInfo": {
                    "MeterID": "UMWC_POWERMETER",
                    "MeterReading": 0,
                    "TMeter": 1681476429
                },
                "ReceiptRequired": false,
                "ResponseCode": "OK",
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:10.126Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 5000
                },
                "EVMaximumVoltageLimit": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 180
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "RemainingTimeToFullSoC": {
                    "Multiplier": 1,
                    "Unit": "s",
                    "Value": 0
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:10.147Z","EVSE","DC power supply set: 413V/18A, requested was 413V/18A.",""
"2023-04-14T12:47:10.274Z","EVSE","V2G CurrentDemandRes","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSECurrentLimitAchieved": false,
                "EVSEID": "DE*PNX*E12345*1",
                "EVSEMaximumCurrentLimit": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 25
                },
                "EVSEMaximumPowerLimit": {
                    "Multiplier": 0,
                    "Unit": "W",
                    "Value": 10000
                },
                "EVSEMaximumVoltageLimit": {
                    "Multiplier": 0,
                    "Unit": "V",
                    "Value": 1250
                },
                "EVSEPowerLimitAchieved": false,
                "EVSEPresentCurrent": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3717
                },
                "EVSEVoltageLimitAchieved": false,
                "MeterInfo": {
                    "MeterID": "UMWC_POWERMETER",
                    "MeterReading": 0,
                    "TMeter": 1681476429
                },
                "ReceiptRequired": false,
                "ResponseCode": "OK",
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:10.467Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-14T12:47:10.529Z","CAR","V2G CurrentDemandReq","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandReq": {
                "ChargingComplete": false,
                "DC_EVStatus": {
                    "EVErrorCode": "NO_ERROR",
                    "EVRESSSOC": 74,
                    "EVReady": true
                },
                "EVMaximumCurrentLimit": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 5000
                },
                "EVMaximumVoltageLimit": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "EVTargetCurrent": {
                    "Multiplier": -1,
                    "Unit": "A",
                    "Value": 250
                },
                "EVTargetVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 4130
                },
                "RemainingTimeToFullSoC": {
                    "Multiplier": 1,
                    "Unit": "s",
                    "Value": 0
                }
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
"2023-04-14T12:47:10.571Z","EVSE","DC power supply set: 413V/24.213075060532688A, requested was 413V/25A.",""
"2023-04-14T12:47:10.705Z","EVSE","Change HLC Limits: 10000W/24.213076A, target_voltage 413, hack_bpt false",""
"2023-04-14T12:47:10.716Z","EVSE","V2G CurrentDemandRes","{
    "V2G_Message": {
        "Body": {
            "CurrentDemandRes": {
                "DC_EVSEStatus": {
                    "EVSEIsolationStatus": "Valid",
                    "EVSENotification": "None",
                    "EVSEStatusCode": "EVSE_Ready",
                    "NotificationMaxDelay": 0
                },
                "EVSECurrentLimitAchieved": false,
                "EVSEID": "DE*PNX*E12345*1",
                "EVSEMaximumCurrentLimit": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 25
                },
                "EVSEMaximumPowerLimit": {
                    "Multiplier": 0,
                    "Unit": "W",
                    "Value": 10000
                },
                "EVSEMaximumVoltageLimit": {
                    "Multiplier": 0,
                    "Unit": "V",
                    "Value": 1250
                },
                "EVSEPowerLimitAchieved": false,
                "EVSEPresentCurrent": {
                    "Multiplier": 0,
                    "Unit": "A",
                    "Value": 0
                },
                "EVSEPresentVoltage": {
                    "Multiplier": -1,
                    "Unit": "V",
                    "Value": 3698
                },
                "EVSEVoltageLimitAchieved": false,
                "MeterInfo": {
                    "MeterID": "UMWC_POWERMETER",
                    "MeterReading": 0,
                    "TMeter": 1681476430
                },
                "ReceiptRequired": false,
                "ResponseCode": "OK",
                "SAScheduleTupleID": 1
            }
        },
        "Header": {
            "SessionID": "51FB6C7A3C00C31C"
        }
    }
}"
